VehicleID	CustomerID	RecordID	RentDate	EstimatedReturnDate	ActualReturnDate	Days	Rate	RentalFee	LateFee
C_001	Mindy	C_001_Mindy_29082018	29082018	31082018	31082018	2	78	156	0
C_001	Ben	C_001_Ben_15052018	15052018	20052018	16052018	5	78	390	0
C_001	Verity	C_001_Verity_10012018	10012018	12012018	13012018	2	78	156	97.5
C_002	Em	C_002_Em_12022019	12022019	15022019	16022019	3	78	234	97.5
C_002	Arthi	C_002_Arthi_1012019	1012019	4012019	4012019	3	78	234	0
C_003	Kim	C_003_Kim_29082018	29082018	31082018	31082018	2	113	226	0
C_003	Bonnie	C_003_Bonnie_15052018	15052018	20052018	16052018	5	113	565	0
C_003	Maggie	C_003_Maggie_10012018	10012018	12012018	13012018	2	113	226	141.25
C_004	Alex	C_004_Alex_12022019	12022019	15022019	16022019	3	113	339	141.25
C_004	Scott	C_004_Scott_1012019	1012019	4012019	4012019	3	113	339	0
C_005	Mindy	C_005_Mindy_29082018	29082018	31082018	31082018	2	113	226	0
C_005	Ben	C_005_Ben_15052018	15052018	20052018	16052018	5	113	565	0
C_005	Verity	C_005_Verity_10012018	10012018	12012018	13012018	2	113	226	141.25
C_006	Em	C_006_Em_12022019	12022019	15022019	16022019	3	78	234	97.5
C_006	Arthi	C_006_Arthi_1012019	1012019	4012019	4012019	3	78	234	0
C_007	Kim	C_007_Kim_29082018	29082018	31082018	31082018	2	113	226	0
C_007	Bonnie	C_007_Bonnie_15052018	15052018	20052018	16052018	5	113	565	0
C_007	Maggie	C_007_Maggie_10012018	10012018	12012018	13012018	2	113	226	141.25
C_008	Alex	C_008_Alex_12022019	12022019	15022019	16022019	3	78	234	97.5
C_008	Scott	C_008_Scott_1012019	1012019	4012019	4012019	3	78	234	0
C_009	Mindy	C_009_Mindy_29082018	29082018	31082018	31082018	2	78	156	0
C_009	Ben	C_009_Ben_15052018	15052018	20052018	16052018	5	78	390	0
C_009	Verity	C_009_Verity_10012018	10012018	12012018	13012018	2	78	156	97.5
C_010	Em	C_010_Em_12022019	12022019	15022019	16022019	3	113	339	141.25
C_010	Arthi	C_010_Arthi_1012019	1012019	4012019	4012019	3	113	339	0
V_001	Kim	V_001_Kim_29082018	29082018	31082018	31082018	2	235	470	0
V_001	Bonnie	V_001_Bonnie_15052018	15052018	20052018	16052018	5	235	1175	0
V_001	Maggie	V_001_Maggie_10012018	10012018	12012018	13012018	2	235	470	293.75
V_002	Alex	V_002_Alex_12022019	12022019	15022019	16022019	3	235	705	293.75
V_002	Scott	V_002_Scott_1012019	1012019	4012019	4012019	3	235	705	0
V_003	Mindy	V_003_Mindy_29082018	29082018	31082018	31082018	2	235	470	0
V_003	Ben	V_003_Ben_15052018	15052018	20052018	16052018	5	235	1175	0
V_003	Verity	V_003_Verity_10012018	10012018	12012018	13012018	2	235	470	293.75
V_004	Em	V_004_Em_12022019	12022019	15022019	16022019	3	235	705	293.75
V_004	Arthi	V_004_Arthi_1012019	1012019	4012019	4012019	3	235	705	0
V_005	Kim	V_005_Kim_29082018	29082018	31082018	31082018	2	235	470	0
V_005	Bonnie	V_005_Bonnie_15052018	15052018	20052018	16052018	5	235	1175	0
V_005	Maggie	V_005_Maggie_10012018	10012018	12012018	13012018	2	235	470	293.75
